round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.75833,0.66916,0.54675,0.53118,0.75833,0.75833,0.75833
2,0.80604,0.76672,0.66049,0.68399,0.80604,0.80604,0.80604
3,0.8158,0.77419,0.68847,0.71263,0.8158,0.8158,0.8158
4,0.81986,0.77721,0.7003,0.72386,0.81986,0.81986,0.81986
5,0.82225,0.77854,0.70807,0.73083,0.82225,0.82225,0.82225
6,0.82372,0.77888,0.71374,0.73562,0.82372,0.82372,0.82372
7,0.82575,0.78101,0.71879,0.74023,0.82575,0.82575,0.82575
8,0.82704,0.78315,0.72064,0.74223,0.82704,0.82704,0.82704
9,0.82907,0.78611,0.72421,0.74581,0.82907,0.82907,0.82907
10,0.8287,0.7849,0.7247,0.7459,0.8287,0.8287,0.8287
11,0.83036,0.7865,0.72902,0.74969,0.83036,0.83036,0.83036
12,0.83238,0.78967,0.7321,0.7529,0.83238,0.83238,0.83238
13,0.8333,0.79099,0.7337,0.75449,0.8333,0.8333,0.8333
14,0.83386,0.79141,0.7353,0.75583,0.83386,0.83386,0.83386
15,0.83514,0.79376,0.73665,0.7575,0.83514,0.83514,0.83514
16,0.8357,0.79505,0.73677,0.75794,0.8357,0.8357,0.8357
17,0.8357,0.79535,0.73628,0.75764,0.8357,0.8357,0.8357
18,0.83588,0.79528,0.73714,0.75829,0.83588,0.83588,0.83588
19,0.83588,0.79528,0.73714,0.75829,0.83588,0.83588,0.83588
20,0.83607,0.79566,0.73727,0.75848,0.83607,0.83607,0.83607
21,0.83588,0.79498,0.73764,0.75858,0.83588,0.83588,0.83588
22,0.83607,0.79521,0.73801,0.75893,0.83607,0.83607,0.83607
23,0.83625,0.7953,0.73862,0.75942,0.83625,0.83625,0.83625
24,0.83662,0.79591,0.73911,0.75996,0.83662,0.83662,0.83662
25,0.83699,0.79697,0.73887,0.76006,0.83699,0.83699,0.83699
26,0.83735,0.79743,0.73961,0.76075,0.83735,0.83735,0.83735
27,0.83791,0.79827,0.74047,0.76164,0.83791,0.83791,0.83791
28,0.83791,0.79812,0.74071,0.76178,0.83791,0.83791,0.83791
29,0.83901,0.8001,0.74194,0.76326,0.83901,0.83901,0.83901
30,0.83864,0.79949,0.74145,0.76272,0.83864,0.83864,0.83864
31,0.83864,0.79918,0.74195,0.76301,0.83864,0.83864,0.83864
32,0.83883,0.79987,0.74157,0.76292,0.83883,0.83883,0.83883
33,0.83957,0.80157,0.74182,0.76357,0.83957,0.83957,0.83957
34,0.83957,0.80109,0.74256,0.764,0.83957,0.83957,0.83957
35,0.83957,0.80109,0.74256,0.764,0.83957,0.83957,0.83957
36,0.8392,0.80048,0.74207,0.76346,0.8392,0.8392,0.8392
37,0.83938,0.80071,0.74244,0.7638,0.83938,0.83938,0.83938
38,0.83883,0.79972,0.74182,0.76306,0.83883,0.83883,0.83883
39,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
40,0.83864,0.79949,0.74145,0.76272,0.83864,0.83864,0.83864
41,0.83846,0.79926,0.74108,0.76238,0.83846,0.83846,0.83846
42,0.83846,0.79926,0.74108,0.76238,0.83846,0.83846,0.83846
43,0.83828,0.79919,0.74047,0.76189,0.83828,0.83828,0.83828
44,0.83809,0.79865,0.74059,0.76183,0.83809,0.83809,0.83809
45,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
46,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
47,0.83864,0.79933,0.7417,0.76287,0.83864,0.83864,0.83864
48,0.83846,0.79942,0.74083,0.76223,0.83846,0.83846,0.83846
49,0.83828,0.79903,0.74071,0.76203,0.83828,0.83828,0.83828
50,0.83809,0.79865,0.74059,0.76183,0.83809,0.83809,0.83809
